Altbier / Sticke Alt,Germany,74.22
Amber Lager - Czech / Polotmavý,Czechia,126.81
Amber Lager - International / Vienna,United States of America,88.8
Apple Cider,France,54.81
Apple Cider - Flavored,United States of America,138.87
Apple Cider - Hopped / Malted / Graf,United States of America,76.92
Apple Cider - Ice / Fire / Fortified,Canada,105.49
Barley Wine / Wheat Wine / Rye Wine,United States of America,145.79
Belgian Ale - Dark / Amber,Belgium,80.42
Belgian Ale - Pale / Golden / Single,United States of America,80.84
Belgian Ale - Strong Dark,Belgium,121.44
Belgian Ale - Strong Pale,Belgium,71.5
Berliner Weisse,United States of America,127.24
Berliner Weisse - Flavored / Catharina Sour,United States of America,117.46
Bitter - Ordinary / Best,United Kingdom,72.17
Bitter - Premium / Strong / Extra Special (ESB),United States of America,74.27
Bière de Garde / de Mars / Brut,United States of America,136.09
Blonde Ale / Golden Ale,United States of America,73.08
Bock - Doppelbock,United States of America,77.36
Bock - Dunkler Bock,Germany,52.16
Bock - Eisbock,Netherlands,69.97
Bock - Heller Bock / Maibock,Germany,75.83
Brown Ale,United States of America,143.02
Brown Ale - Imperial,United States of America,132.57
California Common / Steam Beer,United States of America,93.15
Cream Ale,United States of America,101.6
Dark Lager - Dunkel / Tmavý,United States of America,50.08
Dark Lager - India / Hoppy,United States of America,58.41
Dark Lager - International / Premium,United States of America,47.34
Dubbel,United States of America,83.9
Flavored - Chili / Peppers,United States of America,98.02
Flavored - Fruit,United States of America,107.86
Flavored - Other,United States of America,136.88
Flavored - Pumpkin / Vegetables,United States of America,173.01
Gose,United States of America,143.78
Gose - Flavored,United States of America,113.33
Gotlandsdricka / Koduõlu / Sahti,Finland,46.51
Grodziskie / Grätzer / Lichtenhainer,United States of America,73.32
Gruit,United States of America,47.41
Helles / Dortmunder Export,United States of America,87.36
IIPA DIPA - Imperial / Double Hazy (NEIPA),United States of America,162.38
IIPA DIPA - Imperial / Double IPA,United States of America,168.58
IPA,United States of America,125.12
IPA - Belgian / Saison,Belgium,74.89
IPA - Black / Brown / Cascadian Dark,United States of America,61.5
IPA - Brut,United Kingdom,60.1
IPA - English,United Kingdom,65.52
IPA - Flavored,United States of America,128.89
IPA - Hazy / New England (NEIPA),United States of America,143.13
IPA - Milkshake / Smoothie,United States of America,66.62
IPA - Red,United States of America,66.05
IPA - Rye,United States of America,122.87
IPA - Sour / Wild,United States of America,105.37
IPA - White,United States of America,61.55
ISA - Session IPA,United States of America,103.76
Kvass,Latvia,30.42
Kölsch / Kölsch-Style,United States of America,123.51
Lambic - Faro,Belgium,53.28
Lambic - Flavored,Belgium,184.25
Lambic - Gueuze,Belgium,175.92
Lambic - Unblended Jonge / Oude,Belgium,124.7
Low / No Alcohol Beer - Dark,United Kingdom,40.65
Low / No Alcohol Beer - Pale,Poland,96.32
Low / No Alcohol Beer - Wheat,Germany,80.5
Malt Liquor,United States of America,102.96
Mead,United States of America,123.27
Mead - Braggot / Hopped,United States of America,82.87
Mead - Melomel / Fruited,United States of America,181.26
Mead - Metheglin / Spiced / Herbs,United States of America,156.08
Mild Ale,United Kingdom,87.24
Märzen / Oktoberfest Bier,United States of America,100.72
Old Ale,United States of America,111.5
Pale Ale,United Kingdom,58.58
Pale Ale - American (APA),United States of America,114.68
Pale Ale - Australian / New Zealand,United Kingdom,77.78
Pale Ale - Belgian / Farmhouse,United States of America,75.69
Pale Ale - English,United States of America,75.27
Pale Ale - Flavored,United Kingdom,55.99
Pale Ale - Hazy / New England,United States of America,171.61
Pale Ale - Rye,United States of America,111.67
Pale Lager - American,United States of America,99.33
Pale Lager - Hoppy / India (IPL),United States of America,74.04
Pale Lager - International / Premium,United States of America,51.67
Pale Lager - Strong,Poland,57.8
Perry,United Kingdom,69.71
Perry - Ice / Fortified,Canada,18.63
Pilsener - Bohemian / Czech,Czechia,54.15
Pilsener - Imperial,United States of America,93.35
Pilsener / Pils / Pilsner,United States of America,88.08
Porter,United States of America,87.93
Porter - Baltic,Poland,118.45
Porter - Flavored,United States of America,105.85
Porter - Imperial,United States of America,101.68
Porter - Imperial Flavored,United States of America,155.35
Porter - Smoked,United States of America,86.35
Quadrupel / Abt,Belgium,59.6
Radler / Shandy,United States of America,100.72
Red Ale - Imperial,United States of America,151.77
Red Ale - Irish,United States of America,107.95
Red Ale / International Amber Ale,United States of America,112.44
Saison / Farmhouse - Dark,United States of America,127.32
Saison / Farmhouse - Flavored,United States of America,184.47
Saison / Farmhouse / Grisette,United States of America,186.07
Saké - Daiginjo,Japan,77.47
Saké - Genshu,Japan,16.21
Saké - Ginjo,Japan,79.81
Saké - Honjozo,Japan,33.74
Saké - Infused,Japan,30.46
Saké - Junmai,Japan,91.17
Saké - Koshu,Japan,14.06
Saké - Namasaké,Japan,27.29
Saké - Nigori,Japan,53.31
Saké - Taru,Japan,19.9
Saké - Tokubetsu,Japan,31.81
Schwarzbier / Black Lager,United States of America,90.9
Scotch Ale / Wee Heavy,United States of America,107.26
Scottish Ale,United States of America,131.6
Smoked - Other,United States of America,54.94
Smoked - Rauchbier,Germany,51.86
Sour / Wild Beer,United States of America,158.09
Sour / Wild Beer - Dark,United States of America,128.89
Sour / Wild Beer - Flavored,United States of America,172.78
Sour Flemish Ale - Flanders Red / Oud Bruin,United States of America,129.22
Specialty Grain - Other,United States of America,64.66
Specialty Grain - Rye / Roggenbier,United States of America,128.75
Stout,United States of America,122.35
Stout - Dry / Irish,United States of America,75.27
Stout - Extra / Foreign / Tropical,United States of America,78.29
Stout - Flavored / Pastry,United States of America,135.39
Stout - Imperial,United States of America,141.18
Stout - Imperial Flavored / Pastry,United States of America,173.58
Stout - Milk / Sweet,United States of America,102.64
Stout - Oatmeal,United States of America,121.37
Strong Ale - American,United States of America,169.6
Strong Ale - English,United Kingdom,83.66
Traditional Ale - Other,United States of America,80.83
Tripel,Belgium,67.96
Weissbier - Dunkelweizen,Germany,64.91
Weissbier - Hefeweizen,United States of America,91.89
Weissbier - Kristallweizen,Germany,95.27
Weissbier - Weizenbock,United States of America,72.28
Wheat Ale,United States of America,70.97
Wheat Ale - India / Hopfenweisse,United Kingdom,42.06
Witbier / Belgian White Ale,United States of America,72.4
Zwickelbier / Kellerbier / Landbier,Germany,111.76
