Altbier / Sticke Alt,Germany,74.22
Altbier / Sticke Alt,United States of America,62.54
Altbier / Sticke Alt,Canada,17.76
Amber Lager - Czech / Polotmavý,Czechia,126.81
Amber Lager - Czech / Polotmavý,Slovakia,12.85
Amber Lager - Czech / Polotmavý,United States of America,10.19
Amber Lager - International / Vienna,United States of America,88.8
Amber Lager - International / Vienna,United Kingdom,20.38
Amber Lager - International / Vienna,Japan,6.77
Apple Cider,France,54.81
Apple Cider,United States of America,54.27
Apple Cider,Canada,25.12
Apple Cider - Flavored,United States of America,138.87
Apple Cider - Flavored,Canada,17.78
Apple Cider - Flavored,New Zealand,10.57
Apple Cider - Hopped / Malted / Graf,United States of America,76.92
Apple Cider - Hopped / Malted / Graf,Canada,19.92
Apple Cider - Hopped / Malted / Graf,Austria,16.86
Apple Cider - Ice / Fire / Fortified,Canada,105.49
Apple Cider - Ice / Fire / Fortified,United States of America,35.19
Apple Cider - Ice / Fire / Fortified,Sweden,19.48
Barley Wine / Wheat Wine / Rye Wine,United States of America,145.79
Barley Wine / Wheat Wine / Rye Wine,Italy,16.51
Barley Wine / Wheat Wine / Rye Wine,Norway,12.3
Belgian Ale - Dark / Amber,Belgium,80.42
Belgian Ale - Dark / Amber,United States of America,71.23
Belgian Ale - Dark / Amber,Denmark,6.95
Belgian Ale - Pale / Golden / Single,United States of America,80.84
Belgian Ale - Pale / Golden / Single,Belgium,55.82
Belgian Ale - Pale / Golden / Single,Canada,18.42
Belgian Ale - Strong Dark,Belgium,121.44
Belgian Ale - Strong Dark,United States of America,54.27
Belgian Ale - Strong Dark,Canada,11.58
Belgian Ale - Strong Pale,Belgium,71.5
Belgian Ale - Strong Pale,United States of America,67.47
Belgian Ale - Strong Pale,Canada,22.67
Berliner Weisse,United States of America,127.24
Berliner Weisse,Canada,21.78
Berliner Weisse,Germany,10.78
Berliner Weisse - Flavored / Catharina Sour,United States of America,117.46
Berliner Weisse - Flavored / Catharina Sour,Canada,22.75
Berliner Weisse - Flavored / Catharina Sour,Sweden,22.55
Bitter - Ordinary / Best,United Kingdom,72.17
Bitter - Ordinary / Best,Canada,31.41
Bitter - Ordinary / Best,United States of America,30.84
Bitter - Premium / Strong / Extra Special (ESB),United States of America,74.27
Bitter - Premium / Strong / Extra Special (ESB),United Kingdom,38.88
Bitter - Premium / Strong / Extra Special (ESB),Canada,28.59
Bière de Garde / de Mars / Brut,United States of America,136.09
Bière de Garde / de Mars / Brut,France,14.08
Bière de Garde / de Mars / Brut,United Kingdom,7.1
Blonde Ale / Golden Ale,United States of America,73.08
Blonde Ale / Golden Ale,United Kingdom,71.24
Blonde Ale / Golden Ale,Italy,17.88
Bock - Doppelbock,United States of America,77.36
Bock - Doppelbock,Germany,44.7
Bock - Doppelbock,Netherlands,18.28
Bock - Dunkler Bock,Germany,52.16
Bock - Dunkler Bock,United States of America,48.54
Bock - Dunkler Bock,Netherlands,20.89
Bock - Eisbock,Netherlands,69.97
Bock - Eisbock,United States of America,37.69
Bock - Eisbock,Germany,22.24
Bock - Heller Bock / Maibock,Germany,75.83
Bock - Heller Bock / Maibock,United States of America,41.68
Bock - Heller Bock / Maibock,Netherlands,10.19
Brown Ale,United States of America,143.02
Brown Ale,Denmark,14.62
Brown Ale,Canada,7.46
Brown Ale - Imperial,United States of America,132.57
Brown Ale - Imperial,United Kingdom,19.09
Brown Ale - Imperial,Poland,15.71
California Common / Steam Beer,United States of America,93.15
California Common / Steam Beer,Denmark,20.36
California Common / Steam Beer,Netherlands,13.58
Cream Ale,United States of America,101.6
Cream Ale,Denmark,33.82
Cream Ale,United Kingdom,13.53
Dark Lager - Dunkel / Tmavý,United States of America,50.08
Dark Lager - Dunkel / Tmavý,Czechia,38.87
Dark Lager - Dunkel / Tmavý,Germany,35.6
Dark Lager - India / Hoppy,United States of America,58.41
Dark Lager - India / Hoppy,Sweden,10.17
Dark Lager - India / Hoppy,Canada,7.01
Dark Lager - International / Premium,United States of America,47.34
Dark Lager - International / Premium,Canada,9.36
Dark Lager - International / Premium,France,6.95
Dubbel,United States of America,83.9
Dubbel,Belgium,43.85
Dubbel,Canada,21.82
Flavored - Chili / Peppers,United States of America,98.02
Flavored - Chili / Peppers,Denmark,22.84
Flavored - Chili / Peppers,United Kingdom,13.55
Flavored - Fruit,United States of America,107.86
Flavored - Fruit,Denmark,22.08
Flavored - Fruit,Belgium,11.28
Flavored - Other,United States of America,136.88
Flavored - Other,Canada,10.93
Flavored - Other,New Zealand,7.56
Flavored - Pumpkin / Vegetables,United States of America,173.01
Flavored - Pumpkin / Vegetables,Canada,7.23
Flavored - Pumpkin / Vegetables,Hungary,3.59
Gose,United States of America,143.78
Gose,Italy,7.3
Gose,Sweden,7.12
Gose - Flavored,United States of America,113.33
Gose - Flavored,Sweden,30.41
Gose - Flavored,Poland,22.59
Gotlandsdricka / Koduõlu / Sahti,Finland,46.51
Gotlandsdricka / Koduõlu / Sahti,United States of America,41.47
Gotlandsdricka / Koduõlu / Sahti,Poland,19.93
Grodziskie / Grätzer / Lichtenhainer,United States of America,73.32
Grodziskie / Grätzer / Lichtenhainer,Poland,56.53
Grodziskie / Grätzer / Lichtenhainer,Canada,13.79
Gruit,United States of America,47.41
Gruit,Canada,29.83
Gruit,Germany,20.33
Helles / Dortmunder Export,United States of America,87.36
Helles / Dortmunder Export,Germany,35.09
Helles / Dortmunder Export,Canada,21.07
IIPA DIPA - Imperial / Double Hazy (NEIPA),United States of America,162.38
IIPA DIPA - Imperial / Double Hazy (NEIPA),United Kingdom,32.01
IIPA DIPA - Imperial / Double Hazy (NEIPA),Canada,4.06
IIPA DIPA - Imperial / Double IPA,United States of America,168.58
IIPA DIPA - Imperial / Double IPA,United Kingdom,15.63
IIPA DIPA - Imperial / Double IPA,Canada,7.78
IPA,United States of America,125.12
IPA,Canada,31.19
IPA,United Kingdom,11.63
IPA - Belgian / Saison,Belgium,74.89
IPA - Belgian / Saison,United States of America,65.37
IPA - Belgian / Saison,Canada,17.85
IPA - Black / Brown / Cascadian Dark,United States of America,61.5
IPA - Black / Brown / Cascadian Dark,Poland,38.02
IPA - Black / Brown / Cascadian Dark,United Kingdom,37.95
IPA - Brut,United Kingdom,60.1
IPA - Brut,United States of America,31.92
IPA - Brut,Netherlands,21.15
IPA - English,United Kingdom,65.52
IPA - English,United States of America,48.39
IPA - English,Canada,13.66
IPA - Flavored,United States of America,128.89
IPA - Flavored,United Kingdom,18.92
IPA - Flavored,Canada,15.11
IPA - Hazy / New England (NEIPA),United States of America,143.13
IPA - Hazy / New England (NEIPA),Canada,15.92
IPA - Hazy / New England (NEIPA),United Kingdom,15.75
IPA - Milkshake / Smoothie,United States of America,66.62
IPA - Milkshake / Smoothie,United Kingdom,36.99
IPA - Milkshake / Smoothie,Canada,33.41
IPA - Red,United States of America,66.05
